pt_min,sigma phi
100,0.01994367067517913
200,0.00997268998087003
300,0.00664940948240116
400,0.004988053910913736
500,0.0039914681737198135
550,0.003629150904620099
600,0.003327267207590498
700,0.002853000243534933
750,0.002663350210436912
800,0.002497441873015448
850,0.0023510854981938774
900,0.00222102240337054
950,0.0021046799431403257
1000,0.002
1100,0.001819266205554227
1200,0.0016687486995417321
1300,0.001541474322744803
1400,0.001432462234039017
1500,0.0013380598044945675
1700,0.0011827705650293476
1900,0.0010604078792190038
2200,0.0009189547519945544
2500,0.0008118441408859885
2700,0.0007538610760678822
3000,0.0006816498108607265
3500,0.0005894086845327247
4000,0.0005208712107439014
4500,0.00046811943184313056
5000,0.00042640143271122034
7000,0.00032232918561015143
9000,0.0002680100840691224
11000,0.0002357907870692074
13000,0.0002150847062829318
15000,0.0002010075630518413
20000,0.00018074970137030405
25000,0.00017056057308448703
30000,0.0001647618422040255
35000,0.00016116459280507466
40000,0.00015878623423274996
45000,0.0001571348402636758
50000,0.00015594287998552984
55000,0.0001550550664404425
60000,0.00015437639297208062
80000,0.00015280288475977356
100000,0.000152069063257454
1000000,0.05426785420486054
10000000,0.05426785420486054
