pt_min,sigma d0
100,0.5785326265648291
200,0.2895974217196463
300,0.1934322862986323
400,0.1454590434910574
500,0.1167618659209133
550,0.10635586607204082
600,0.09770199083102493
700,0.08414839499926532
750,0.07874791786391076
800,0.07403546447480423
850,0.06988951570870765
900,0.06621555190534127
950,0.0629389479787239
1000,0.06
1100,0.054950516181835246
1200,0.05077486011554425
1300,0.04727067553236357
1400,0.04429339411136566
1500,0.041736977713317656
1700,0.037587268697872815
1900,0.03438014630326338
2200,0.030766157930901948
2500,0.02811879561195085
2700,0.026726898141870705
3000,0.02504317259907698
3500,0.02299068134204439
4000,0.021554195260629263
4500,0.020511297031111677
5000,0.01973153144926498
7000,0.017994708216848735
9000,0.017229190147574815
11000,0.016828416214442195
13000,0.01659352788447531
15000,0.01644444444444443
20000,0.01624551220080999
25000,0.016152605568968317
30000,0.01610191308317963
35000,0.01607126984048597
40000,0.01605134989131235
45000,0.01603767854332367
50000,0.01602789235468385
55000,0.016020647834116854
60000,0.01601513558797534
80000,0.016002441220013888
100000,0.015996562130657938
1000000,0.05426785420486054
10000000,0.05426785420486054
